ALL,lasso,ridge,gbm,rf,Total
cat_Calgary_american_4.0,0.0000000,0.0174824,0.0000000,0.0000018,0.017484215
cat_Toronto_chinese_4.0,0.0000000,-0.0173249,0.0000000,0.0000026,0.017327454
cat_Calgary_american_nan,0.0000000,-0.0166539,0.0000000,0.0002645,0.016918409
smoking_no,-0.0000786,-0.0130526,0.0008859,0.0010219,0.015038923
bestnight_thursday,0.0000000,0.0139730,0.0000000,0.0004545,0.014427547
NumberOfWeekdaysWithEarlyOpening,-0.0025193,-0.0030832,0.0025132,0.0035215,0.011637239
cat_Toronto_italian_4.0,0.0000000,0.0092807,0.0000000,0.0000447,0.009325407
cat_Las Vegas_chinese_4.0,0.0000000,0.0066062,0.0000000,0.0000009,0.006607088
smoking_outdoor,0.0000000,-0.0046170,0.0000000,0.0002991,0.004916099
stars,0.0000000,0.0000000,0.0000000,0.0000000,0
music_no_music,0.0000000,0.0000000,0.0000000,0.0000000,0
no_alcohol,0.0000000,0.0000000,0.0000000,0.0000000,0
